Study GUID,Reference,,,,,,,
CG73ST285,"285 Rachmani R, Slavachevsky I, Amit M et al. The effect of spironolactone, cilazapril and their combination on albuminuria in patients with hypertension and diabetic nephropathy is independent of blood pressure reduction: a randomized controlled study. Diabetic Medicine. 2004; 21(5):471475.",,,,,,,
CG73ST286,"286 Oda H, Keane WF. Recent advances in statins and the kidney. Kidney International  Supplement. 1999; 71: S25, 1999 Jul.:S2S5.",,,,,,,
CG73ST287,"287 Oda H, Keane WF. Lipids in progression of renal disease. Kidney International  Supplement. 1997; 62: S368, 1997 Nov.:S36S38.",,,,,,,
CG73ST288,"288 ODonnell MP, Kasiske BL, Kim Y et al. Lovastatin inhibits proliferation of rat mesangial cells. Journal of Clinical Investigation. 1993; 91:8387.",,,,,,,
CG73ST289,"289 Douglas K, OMalley PG, Jackson JL. Meta-analysis: the effect of statins on albuminuria (Provisional record). Annals of Internal Medicine. 2006; 145(2):117124.",,,,,,,
CG73ST290,"290 Sandhu S, Wiebe N, Fried LF et al. Statins for improving renal outcomes: a meta-analysis. Journal of the American Society of Nephrology. 2006; 17(7):20062016.",,,,,,,
CG73ST291,"291 Strippoli GF, Navaneethan SD, Johnson DW et al. Effects of statins in patients with chronic kidney disease: meta-analysis and meta-regression of randomised controlled trials. British Medical Journal. 2008; 336(7645):645651.",,,,,,,
CG73ST292,292 Anon. Randomised trial of cholesterol lowering in 4444 patients with coronary heart disease: the Scandinavian Simvastatin Survival Study (4S). Lancet. 1994; 344(8934):13831389.,,,,,,,
CG73ST293,"293 Cheung BM, Lauder IJ, Lau CP et al. Meta-analysis of large randomized controlled trials to evaluate the impact of statins on cardiovascular outcomes. British Journal of Clinical Pharmacology. 2004; 57(5): 640651.",,,,,,,
CG73ST294,"294 Heart Protection Study Collaborative Group. MRC/BHF Heart Protection Study of cholesterol lowering with simvastatin in 20,536 high-risk individuals: a randomised placebo-controlled trial. Lancet. 2002; 360(9326):722.",,,,,,,
CG73ST295,"295 Wanner C, Krane V, Marz W et al. Atorvastatin in patients with type 2 diabetes mellitus undergoing hemodialysis. New England Journal of Medicine. 2005; 353(3):238248.",,,,,,,
CG73ST296,"296 Kasiske BL, ODonnell MP, Garvis WJ et al. Pharmacologic treatment of hyperlipidemia reduces glomerular injury in rat 5/6 nephrectomy model of chronic renal failure. Circulation Research. 1988; 62(2):367374.",,,,,,,
CG73ST297,"297 Kasiske BL, ODonnell MP, Cleary MP et al. Treatment of hyperlipidemia reduces glomerular injury in obese Zucker rats. Kidney International. 1988; 33(3):667672.",,,,,,,
CG73ST298,"298 ODonnell MP, Kasiske BL, Kim Y et al. Lovastatin retards the progression of established glomerular disease in obese Zucker rats. American Journal of Kidney Diseases. 1993; 22(1):8389.",,,,,,,
CG73ST299,"299 Fried LF, Orchard TJ, Kasiske BL. Effect of lipid reduction on the progression of renal disease: a meta- analysis. Kidney International. 2001; 59(1):260269.",,,,,,,
CG73ST300,"300 Kwan BC, Kronenberg F, Beddhu S et al. Lipoprotein  metabolism  and  lipid  management  in  chronic kidney disease. Journal of the American Society of Nephrology. 2007; 18(4):12461261.",,,,,,,
CG73ST301,"301 Tonelli M, Collins D, Robins S et al. Gemfibrozil for secondary prevention of cardiovascular events in mild to moderate chronic renal insufficiency. Kidney International. 2004; 66(3):11231130.",,,,,,,
CG73ST302,"302 Chonchol M, Cook T, Kjekshus J et al. Simvastatin for secondary prevention of all-cause mortality and major coronary events in patients with mild chronic renal insufficiency. American Journal of Kidney Diseases. 49(3); 373382.",,,,,,,
CG73ST303,"303 Rabelink TJ, Zwaginga JJ, Koomans HA et al. Thrombosis and hemostasis in renal disease. Kidney International. 1994; 46(2):287296.",,,,,,,
CG73ST304,"304 Steiner RW, Coggins C, Carvalho AC. Bleeding time in uremia: a useful test to assess clinical bleeding. American Journal of Hematology. 1979; 7(2):107117.",,,,,,,
CG73ST305,"305 Gordge MP, Neild GH. Platelet function in uraemia. Platelets. 1991; 2(115)",,,,,,,
CG73ST306,"306 Mezzano D, Tagle R, Panes O et al. Hemostatic disorder of uremia: the platelet defect, main determinant of the prolonged bleeding time, is correlated with indices of activation of coagulation and fibrinolysis. Thrombosis & Haemostasis. 1996; 76(3):312321.",,,,,,,
CG73ST307,"307 Remuzzi G, Perico N, Zoja C et al. Role of endothelium-derived nitric oxide in the bleeding tendency of uremia. Journal of Clinical Investigation. 1990; 86(5):17681771.",,,,,,,
CG73ST308,"308 Gordge MP, Faint RW, Rylance PB et al. Platelet function and the bleeding time in progressive renal failure. Thrombosis and Haemostasis. 1988; 60(1):8387.",,,,,,,
CG73ST309,"309 Escolar G, Cases A, Bastida E et al. Uremic platelets have a functional defect affecting the interaction of von Willebrand factor with glycoprotein IIbIIIa. Blood. 1990; 76(7):13361340.",,,,,,,
CG73ST310,"310 Keltai M, Tonelli M, Mann JFE et al. Renal function and outcomes in acute coronary syndrome: Impact of clopidogrel. European Journal of Cardiovascular Prevention & Rehabilitation. 2007; 14(2):312318.",,,,,,,
CG73ST311,"311 Ezekowitz J, McAlister FA, Humphries KH et al. The association among renal insufficiency, pharmacotherapy, and outcomes in 6,427 patients with heart failure and coronary artery disease. Journal of the American College of Cardiology. 2004; 44(8):15871592.",,,,,,,
CG73ST312,"312 Krause MW, Massing M, Kshirsagar A et al. Combination therapy improves survival after acute myocardial infarction in the elderly with chronic kidney disease. Renal Failure. 2004; 26(6):715725.",,,,,,,
CG73ST313,"313 Gibney EM, Casebeer AW, Schooley LM et al. Cardiovascular medication use after coronary bypass surgery in patients with renal dysfunction: A National Veterans Administration study. Kidney International. 2005; 68(2):826832.",,,,,,,
CG73ST314,"314 Vaziri ND, Freel RW, Hatch M. Effect of chronic experimental renal insufficiency on urate metabolism. Journal of the American Society of Nephrology. 1995; 6(4):13131317.",,,,,,,
CG73ST315,"315 Foley RN, Wang C, Ishani A et al. NHANES III: influence of race on GFR thresholds and detection of metabolic abnormalities. Journal of the American Society of Nephrology. 2007; 18(9):25752582.",,,,,,,
CG73ST316,"316 Chonchol M, Shlipak MG, Katz R et al. Relationship of uric acid with progression of kidney disease. American Journal of Kidney Diseases. 2007; 50(2):239247.",,,,,,,
CG73ST317,"317 Nakagawa T, Kang DH, Feig D et al. Unearthing uric acid: An ancient factor with recently found significance in renal and cardiovascular disease. Kidney International. 2006; 69(10):17221725.",,,,,,,
CG73ST318,"318 Sanchez-Lozada LG, Tapia E, Santamaria J et al. Mild hyperuricemia induces vasoconstriction and maintains glomerular hypertension in normal and remnant kidney rats. Kidney International. 2005; 67(1):237247.",,,,,,,
CG73ST319,"319 Nakagawa T, Mazzali M, Kang DH et al. Hyperuricemia causes glomerular hypertrophy in the rat. American Journal of Nephrology 2003; 23(1):27.",,,,,,,
CG73ST320,"320 Johnson RJ, Kang DH, Feig D et al. Is there a pathogenetic role for uric acid in hypertension and cardiovascular and renal disease? Hypertension. 2003; 41(6):11831190.",,,,,,,
CG73ST321,"321 Siu YP, Leung KT, Tong MK et al. Use of allopurinol in slowing the progression of renal disease through its ability to lower serum uric acid level. American Journal of Kidney Diseases. 2006; 47(1):5159.",,,,,,,
CG73ST322,"322 Yamagata K, Takahashi H, Tomida C et al. Prognosis of asymptomatic hematuria and/or proteinuria in men. High prevalence of IgA nephropathy among proteinuric patients found in mass screening. Nephron. 2002; 91(1):3442.",,,,,,,
CG73ST323,"323 Martin KJ, Gonzalez EA. Metabolic bone disease in chronic kidney disease. Journal of the American Society of Nephrology. 2007; 18(3):875885.",,,,,,,
CG73ST324,"324 Hsu CY, Chertow GM. Elevations of serum phosphorus and potassium in mild to moderate chronic renal insufficiency. Nephrology Dialysis and Transplantation. 2002; 17(8):14191425.",,,,,,,
CG73ST325,"325 Chonchol M, Scragg R. 25-Hydroxyvitamin D, insulin resistance, and kidney function in the Third National Health and Nutrition Examination Survey. Kidney International. 2007; 71(2):134139.",,,,,,,
CG73ST326,"326 LaClair RE, Hellman RN, Karp SL et al. Prevalence of calcidiol deficiency in CKD: a cross-sectional study across latitudes in the United States. American Journal of Kidney Diseases. 2005; 45(6):10261033.",,,,,,,
CG73ST327,"327 Craver L, Marco MP, Martinez I et al. Mineral metabolism parameters throughout chronic kidney disease stages 15  Achievement of K/DOQI target ranges. Nephrology Dialysis and Transplantation. 2007; 22(4):11711176.",,,,,,,
CG73ST328,"328 Levin A, Bakris GL, Molitch M et al. Prevalence of abnormal serum vitamin D, PTH, calcium, and phosphorus in patients with chronic kidney disease: results of the study to evaluate early kidney disease. Kidney International. 2007; 71(1):3138.",,,,,,,
CG73ST329,"329 St John A., Thomas MB, Davies CP et al. Determinants of intact parathyroid hormone and free 1,25- dihydroxyvitamin D levels in mild and moderate renal failure. Nephron. 1992; 61(4):422427.",,,,,,,
CG73ST330,330 Miller PD. Treatment of osteoporosis in chronic kidney disease and end-stage renal disease. Current Osteoporosis Reports. 2005; 3(1):512.,,,,,,,
CG73ST331,"331 Fujii N, Hamano T, Mikami S et al. Risedronate, an effective treatment for glucocorticoid-induced bone loss in CKD patients with or without concomitant active vitamin D (PRIUS-CKD). Nephrology Dialysis and Transplantation. 2007; 22(6):16011607.",,,,,,,
CG73ST332,"332 Kikuchi Y, Imakiire T, Yamada M et al. Effect of risedronate on high-dose corticosteroid-induced bone loss in patients with glomerular disease. Nephrology Dialysis and Transplantation. 2007; 22(6):15931600.",,,,,,,
CG73ST333,"333 Miller PD, Roux C, Boonen S et al. Safety and efficacy of risedronate in patients with age-related reduced renal function as estimated by the Cockcroft and Gault method: a pooled analysis of nine clinical trials. Journal of Bone & Mineral Research. 2005; 20(12):21052115.",,,,,,,
CG73ST334,"334 Jamal SA, Bauer DC, Ensrud KE et al. Alendronate treatment in women with normal to severely impaired renal function: an analysis of the fracture intervention trial. Journal of Bone & Mineral Research. 2007; 22(4):503508.",,,,,,,
CG73ST335,"335 Baker LR, Abrams L, Roe CJ et al. 1,25(OH)2D3 administration in moderate renal failure: a prospective double-blind trial. Kidney International. 1989; 35(2):661669.",,,,,,,
CG73ST336,"336 Nordal KP, Dahl E. Low dose calcitriol versus placebo in patients with predialysis chronic renal failure. Journal of Clinical Endocrinology & Metabolism. 1988; 67(5):929936.",,,,,,,
CG73ST337,"337 Przedlacki J, Manelius J, Huttunen K. Bone mineral density evaluated by dual-energy X-ray absorptiometry after one-year treatment with calcitriol started in the predialysis phase of chronic renal failure. Nephron. 1995; 69(4):433437.",,,,,,,
CG73ST338,"338 Ritz E, Kuster S, Schmidt-Gayk H et al. Low-dose calcitriol prevents the rise in 1,84 iPTH without affecting serum calcium and phosphate in patients with moderate renal failure (prospective placebo-controlled multicentre trial). Nephrology Dialysis and Transplantation. 1995; 10(12):22282234.",,,,,,,
CG73ST339,"339 Christiansen C, Rodbro P, Christensen MS et al. Deterioration of renal function during treatment of chronic renal failure with 1,25-dihydroxycholecalciferol. Lancet. 1978; 2(8092:Pt 1):700703.",,,,,,,
CG73ST340,"340 Hamdy NA, Kanis JA, Beneton MN et al. Effect of alfacalcidol on natural course of renal bone disease in mild to moderate renal failure. British Medical Journal. 1995; 310(6976):358363.",,,,,,,
CG73ST341,"341 Rix M, Eskildsen P, Olgaard K. Effect of 18 months of treatment with alfacalcidol on bone in patients with mild to moderate chronic renal failure. Nephrology Dialysis and Transplantation. 2004; 19(4):870876.",,,,,,,
CG73ST342,"342 Coyne D, Acharya M, Qiu P et al. Paricalcitol capsule for the treatment of secondary hyperparathyroidism in stages 3 and 4 CKD. American Journal of Kidney Diseases. 2006; 47(2):263276.",,,,,,,
CG73ST343,"343 Al-Aly Z, Quazi RA, Gonzalez EA et al. Changes in Serum 25-Hydroxyvitamin D and Plasma Intact PTH Levels Following Treatment With Ergocalciferol in Patients With CKD. American Journal of Kidney Diseases. 2007; 50(1):5968.",,,,,,,
CG73ST344,344 British National Formulary (57).  2008.  UK:  BMJ Publishing  Group Ltd and RPS  Publishing. http://www.bnf.org/bnf/,,,,,,,
CG73ST345,"345 Department of Health. Creating a patient-led NHS-delivering the NHS improvement plan. London: UK: Department of Health, 2005.",,,,,,,
CG73ST346,"346 Department of Health. Supporting People with Long Term Conditions. An NHS and Social Care Model to support local innovation and integration. London: UK: Department of Health, 2005.",,,,,,,
CG73ST347,"347 Department of Health. National Service Framework for Renal Services  Part One: dialysis and Transplantation. London: UK: Department of Health, 2004.",,,,,,,
CG73ST348,"348 Ormandy P, Hulme CT, Caress AL, et al. Executive Summary: Identifying chronic kidney disease patients priorities and preferences for information topics. Salford: UK: Institute for Health and Social Care Research Report, Univeristy of Salford, 2007.",,,,,,,
CG73ST349,"349 Coulter A, Entwistle V, Gilbert D. Sharing decisions with patients: is the information good enough? British Medical Journal. 1999; 318(7179):318322.",,,,,,,
CG73ST350,"350 Bekker H, Thornton JG, Airey CM et al. Informed decision making: an annotated bibliography and systematic review. Health Technology Assessment. 1999; 3(1):1156.",,,,,,,
CG73ST351,"351 Manns BJ, Taub K, Vanderstraeten C et al. The impact of education on chronic kidney disease patients plans to initiate dialysis with self-care dialysis: a randomized trial. Kidney International. 2005; 68(4): 17771783.",,,,,,,
CG73ST352,"352 Inaguma D, Tatematsu M, Shinjo H et al. Effect of an educational program on the predialysis period for patients with chronic renal failure. Clinical & Experimental Nephrology. 2006; 10(4):274278.",,,,,,,
CG73ST353,"353 Lindberg JS, Husserl FE, Ross JL et al. Impact of multidisciplinary, early renal education on vascular access placement. Nephrology News & Issues. 2005; 19(3):3536.",,,,,,,
CG73ST354,"354 Levin A, Lewis M, Mortiboy P et al. Multidisciplinary predialysis programs: quantification and limitations of their impact on patient outcomes in two Canadian settings. American Journal of Kidney Diseases. 1997; 29(4):533540.",,,,,,,
CG73ST355,"355 Anandarajah S, Tai T, de Lusignan S et al. The validity of searching routinely collected general practice computer data to identify patients with chronic kidney disease (CKD): a manual review of 500 medical records. Nephrology Dialysis and Transplantation. 2005; 20(10):20892096.",,,,,,,
CG73ST356,"356 Richards N, Harris K, Whitfield M et al. The impact of population-based identification of chronic kidney disease using estimated gloerular filtration rate (eGFR) reporting. Nephrology Dialysis and Transplantation. 2008; 23(2): 556561.",,,,,,,
CG73ST357,"357 Richards N, Harris K, Whitfield M et al. Primary care-based disease management of chronic disease (CKD), based on estimated glomerular filtration rate (eGFR) reporting, improves patient outcomes. Nephrology Dialysis and Transplantation. 2008; 23(2): 549555.",,,,,,,
CG73ST358,"358 Hemmelgarn BR, Culleton BF, Ghali WA. Derivation and validation of a clinical index for prediction of rapid progression of kidney dysfunction. QJM: monthly journal of the Association of Physicians. 2007; 100(2):8792.",,,,,,,
CG73ST359,"359 Weiner DE, Tighiouart H, Elsayed EF et al. The Framingham predictive instrument in chronic kidney disease. Journal of the American College of Cardiology. 2007; 50(3):217224.",,,,,,,
CG73ST360,"360 Garg AX, Bryce AK, William FC et al. Albuminuria and renal insufficiency prevalence guides population screening: Results from the NHANES III. Kidney International. 2002; 61(6):2165.",,,,,,,
CG73ST361,"361 Iseki K, Ikemiya Y, Kinjo K et al. Prevalence of high fasting plasma glucose and risk of developing end- stage renal disease in screened subjects in Okinawa, Japan. Clinical & Experimental Nephrology. 2004; 8(3):250256.",,,,,,,
CG73ST362,"362 Whitfield M, Holmes M. Final report to Optimal Renal Care UK Ltd. A cost and clinical effectiveness evaluation of a disease management programme for chronic kidney disease (CKD). Sheffield: Sheffield School of Health and Related Research, 2007.",,,,,,,
CG73ST363,363 Government Actuarys Department. Interim life tables. 2007. http://www.gad.gov.uk/Demography_ Data/Life_Tables/Interim_life_tables.asp,,,,,,,
CG73ST364,"364 Curtis, L. Unit Costs of Health and Social Care. Canterbury: UK: Personal Social Services Research Unit, 2007.",,,,,,,
CG73ST365,"365 Department of Health. NHS reference Costs 2005  2006. UK: Department of Health, 2006.",,,,,,,
CG73ST366,"366 Fretheim A, Oxman AD. International variation in prescribing antihypertensive drugs: its  extent  and possible explanations. BMC Health Services Research. 2005; 5(1):21.",,,,,,,
CG73ST367,"367 Klebe B, Irving J, Stevens PE et al. The cost of implementing UK guidelines for the management of chronic kidney disease. Nephrology Dialysis and Transplantation. 2007; 22(9):25042512.",,,,,,,
CG73ST368,368 The Information Centre for Health and Social Care. HESonline. 2007. UK: The Information Centre for Health and Social Care. www.hesonline.nhs.uk,,,,,,,
CG73ST369,"369 Palmer AJ, Valentine WJ, Ray JA. Irbesartan treatment of patients with type 2 diabetes, hypertension and renal disease: a UK health economics analysis. International Journal of Clinical Practice. 2007; 61(10):16261633.",,,,,,,
CG73ST370,"370 UK Transplant. Cost effectiveness of transplantation.:[187] Available from: UK Transplant. Last accessed on: 27 Feb, 2008.",,,,,,,
CG73ST371,"371 Baboolal K, McEwan P, Sondhi S et al. The cost of renal dialysis in a UK settinga multicentre study. Nephrology Dialysis and Transplantation. 2008; 23(6): 19821989.",,,,,,,
CG73ST372,"372 de Wit GA, Merkus MP, Krediet RT et al. Health profiles and health preferences of dialysis patients. Nephrology Dialysis and Transplantation. 2002; 17(1):8692.",,,,,,,
CG73ST379,"379 Speckman RA, McClellan WM, Volkova NV, Jurkovitz CT, Satko SG, Schoolwerth AC et al.  Obesity is associated with family history of ESRD in incident dialysis patients. American Journal 33 of Kidney Diseases. 2006; 48(1):50-58",,,,,,,
CG73ST380,"380St John A., Thomas MB, Davies CP, Mullan B, Dick I, Hutchison B et al. Determinants of intact parathyroid hormone and free 1,25-dihydroxyvitamin D levels in mild and moderate renal  failure. Nephron. 1992; 61(4):422-427",,,,,,,
TA288ST1,"Cummins E, Scott N, Rothnie K et al. Dapagliflozin for the treatment of type 2 diabetes. Aberdeen HTA Group, Institute of Applied Health Sciences, University of Aberdeen, November 2012.",,,,,,,
TA288ST2,"Davis S, Sheard J. A review of the Bristol-Myers Squibb/AstraZeneca economic model on the cost-effectiveness of dapagliflozin, November 2012.",,,,,,,
TA288ST3,"Davis S. Dapagliflozin for the treatment of type 2 diabetes: Additional analyses requested by the Committee following the second meeting, April 2013.",,,,,,,
CG87ST1,"Asnani S, Kunhiraman B, Jawa A et al. (2006) Pioglitazone restores endothelial function in patients with type 2 diabetes treated with insulin. Metabolic Syndrome & Related Disorders 4: 179-84",,,,,,,
CG87ST2,"Bagust A, Beale S (2005) Modelling EuroQol health-related utility values for diabetic complications from CODE-2 data. Health Economics 14: 217-30",,,,,,,
CG87ST3,"Barnett AH, Burger J, Johns D et al. (2007) Tolerability and efficacy of exenatide and titrated insulin glargine in adult patients with type 2 diabetes previously uncontrolled with metformin or a sulfonylurea: a multinational, randomized, open-label, two-period, crossover noninferiority trial. Clinical Therapeutics 29: 2333-48",,,,,,,
CG87ST4,"Berhanu P, Perez A, Yu S (2007) Effect of pioglitazone in combination with insulin therapy on glycaemic control, insulin dose requirement and lipid profile in patients with type 2 diabetes previously poorly controlled with combination therapy. Diabetes, Obesity and Metabolism 9: 512-20",,,,,,,
CG87ST5,"Bolli G, Dotta F, Rochotte E et al. (2008) Efficacy and tolerability of vildagliptin vs. pioglitazone when added to metformin: a 24-week, randomized, double- blind study. Diabetes, Obesity and Metabolism 10: 82-90",,,,,,,
CG87ST6,"Celeya JM, Fon, F, Ayala, C et al. (2007) A pharmacoeconomic evaluation for diabetes type 2 (DM 2) with inhibitors of dipeptidyl peptidase-4 (DPP-4) and thiazolidinediones (TZD) in monotherapy. Value in Health 10 A254",,,,,,,
CG87ST7,"Davis SN, Johns D, Maggs D et al. (2007) Exploring the substitution of exenatide for insulin in patients with type 2 diabetes treated with insulin in combination with oral antidiabetes agents. Diabetes Care 30: 2767-72",,,,,,,
CG87ST8,"DeFronzo RA, Ratner RE, Han J et al. (2005) Effects of exenatide (exendin-4) on glycemic control and weight over 30 weeks in metformin-treated patients with type 2 diabetes. Diabetes Care 28: 1092-100",,,,,,,
CG87ST9,"Diamond GA, Bax L, Kaul S (2007) Uncertain effects of rosiglitazone on the risk for myocardial infarction and cardiovascular death. Annals of Internal Medicine 147: 578-81",,,,,,,
CG87ST10,"Dormandy JA, Charbonnel B, Eckland DJ et al. (2005) Secondary prevention of macrovascular events in patients with type 2 diabetes in the PROactive",,,,,,,
CG87ST11,Study (PROspective pioglitAzone Clinical Trial In macroVascular Events): a randomised controlled trial. Lancet 366: 1279-89,,,,,,,
CG87ST12,"Fernandez M, Triplitt C, Wajcberg E et al. (2008) Addition of pioglitazone and ramipril to intensive insulin therapy in type 2 diabetic patients improves vascular dysfunction by different mechanisms. Diabetes Care 31: 121-7",,,,,,,
CG87ST13,"Fon F, Celeya, JM, Ayala, C et al. (2007) A pharmacoeconomic evaluation for diabetes type 2 (DM 2) with inhibitors of dipeptidyl peptidase-4 (DPP-4) and thiazolidinediones (TZD) as add-on therapy. Value in Health 10 A254",,,,,,,
CG87ST14,"Heine RJ, Van Gaal LF, Johns D et al. (2005) Exenatide versus insulin glargine in patients with suboptimally controlled type 2 diabetes: a randomized trial. Annals of Internal Medicine 143: 559-69",,,,,,,
CG87ST15,"Hermansen K, Kipnes M, Luo E et al. (2007) Efficacy and safety of the dipeptidyl peptidase-4 inhibitor, sitagliptin, in patients with type 2 diabetes mellitus inadequately controlled on glimepiride alone or on glimepiride and metformin. Diabetes, Obesity and Metabolism 9: 733-45",,,,,,,
CG87ST16,"Horvath K, Jeitler K, Berghold A et al. (2007) Long-acting insulin analogues versus NPH insulin (human isophane insulin) for type 2 diabetes mellitus. Cochrane Database of Systematic Reviews issue 2: CD005613",,,,,,,
CG87ST17,"Jagger C, Goyder E, Clarke M et al. (2003) Active life expectancy in people with and without diabetes. Journal of Public Health Medicine 25: 42-6",,,,,,,
CG87ST18,"Kendall DM, Riddle MC, Rosenstock J et al. (2005) Effects of exenatide (exendin-4) on glycemic control over 30 weeks in patients with type 2 diabetes treated with metformin and a sulfonylurea. Diabetes Care 28: 1083-91",,,,,,,
CG87ST19,"Lago RM, Singh PP, Nesto RW (2007) Congestive heart failure and cardiovascular death in patients with prediabetes and type 2 diabetes given thiazolidinediones: a meta-analysis of randomised clinical trials. Lancet 370: 1129-36",,,,,,,
CG87ST20,"Lincoff AM, Wolski K, Nicholls SJ et al. (2007) Pioglitazone and risk of cardiovascular events in patients with type 2 diabetes mellitus: a meta- analysis of randomized trials. JAMA 298: 1180-8",,,,,,,
CG87ST21,"Mattoo V, Eckland D, Widel M et al. (2005) Metabolic effects of pioglitazone in combination with insulin in patients with type 2 diabetes mellitus whose disease is not adequately controlled with insulin therapy: results of a six- month, randomized, double-blind, prospective, multicenter, parallel-group study. Clinical Therapeutics 27: 554-67",,,,,,,
CG87ST22,"McEwan P, Poole, CD, Tetlow, T et al. (2007) Evaluation of the cost- effectiveness of insulin glargine versus NPH insulin for the treatment of type 2 diabetes in the UK. Current Medical Research and Opinion 23: S21-S31",,,,,,,
CG87ST23,"Montanana CF, Herrero, CH, Fernandez, MR (2007) Less weight gain and hypoglycaemia with once-daily insulin detemir than with NPH insulin in basal- bolus therapy of overweight type 2 diabetes patients: the PREDICTIVE-BMT trial. Diabetologia 50: S404",,,,,,,
CG87ST24,National Institute for Health and Clinical Excellence (2008) Type 2 diabetes: the management of type 2 diabetes. NICE clinical guideline 66. Available from www.nice.org.uk/CG66,,,,,,,
CG87ST25,"Nauck MA, Duran S, Kim D et al. (2007a) A comparison of twice-daily exenatide and biphasic insulin aspart in patients with type 2 diabetes who were suboptimally controlled with sulfonylurea and metformin: a non-inferiority study. Diabetologia 50: 259-67",,,,,,,
CG87ST26,"Nauck MA, Meininger G, Sheng D et al. (2007b) Efficacy and safety of the dipeptidyl peptidase-4 inhibitor, sitagliptin, compared with the sulfonylurea, glipizide, in patients with type 2 diabetes inadequately controlled on metformin alone: a randomized, double-blind, non-inferiority trial. Diabetes, Obesity and Metabolism 9: 194-205",,,,,,,
CG87ST27,"Nissen SE, Wolski K (2007) Effect of rosiglitazone on the risk of myocardial infarction and death from cardiovascular causes. New England Journal of Medicine 356: 2457-71",,,,,,,
CG87ST28,"Pan CY, Sinnassamy P, Chung KD et al. (2007) Insulin glargine versus NPH insulin therapy in Asian Type 2 diabetes patients. Diabetes Research & Clinical Practice 76: 111-8",,,,,,,
CG87ST29,"Philis-Tsimikas A, Charpentier G, Clauson P et al. (2006) Comparison of once-daily insulin detemir with NPH insulin added to a regimen of oral antidiabetic drugs in poorly controlled type 2 diabetes. Clinical Therapeutics 28: 1569-81",,,,,,,
CG87ST30,"Psaty BM, Furberg CD (2007) The record on rosiglitazone and the risk of myocardial infarction. New England Journal of Medicine 357: 67-9",,,,,,,
CG87ST31,"Ray JA, Boye KS, Yurgin N et al. (2007) Exenatide versus insulin glargine in patients with type 2 diabetes in the UK: a model of long-term clinical and cost outcomes. Current Medical Research and Opinion 23: 609-22",,,,,,,
CG87ST32,"Raz I, Stranks S, Filipczak R et al. (2005) Efficacy and safety of biphasic insulin aspart 30 combined with pioglitazone in type 2 diabetes poorly controlled on glibenclamide (glyburide) monotherapy or combination therapy: an 18-week, randomized, open-label study. Clinical Therapeutics 27: 1432-43",,,,,,,
CG87ST33,"Richter B, Bandeira-Echtler E, Bergerhoff K et al. (2008) Dipeptidyl peptidase- 4 (DPP-4) inhibitors for type 2 diabetes mellitus. Cochrane Database of Systematic Reviews issue 2: CD006739",,,,,,,
CG87ST34,"Rosenstock J, Davies M, Home PD et al. (2008) A randomised, 52-week, treat-to-target trial comparing insulin detemir with insulin glargine when administered as add-on to glucose-lowering drugs in insulin-naive people with type 2 diabetes. Diabetologia 51: 408-16",,,,,,,
CG87ST35,"Rosenstock J, Einhorn D, Hershon K et al. (2002) Efficacy and safety of pioglitazone in type 2 diabetes: a randomised, placebo-controlled study in patients receiving stable insulin therapy. International Journal of Clinical Practice 56: 251-7",,,,,,,
CG87ST36,"Scheen A, Charbonnel, B (2006) Reduced insulin requirements and improved glycemic control with pioglitazone in insulin-treated patients with type 2 diabetes. Diabetes 55: A134",,,,,,,
CG87ST37,"Schwarz B, Gouveia M, Chen J et al. (2008) Cost-effectiveness of sitagliptin- based treatment regimens in European patients with type 2 diabetes and haemoglobin A1c above target on metformin monotherapy. Diabetes, Obesity and Metabolism 10 Suppl 1: 43-55",,,,,,,
CG87ST38,"Scott R, Loeys T, Davies MJ et al. (2008) Efficacy and safety of sitagliptin when added to ongoing metformin therapy in patients with type 2 diabetes. Diabetes, Obesity and Metabolism 10:959-69",,,,,,,
CG87ST39,"Secnik BK, Matza LS, Oglesby A et al. (2006) Patient-reported outcomes in a trial of exenatide and insulin glargine for the treatment of type 2 diabetes. Health & Quality of Life Outcomes 4: 80",,,,,,,
CG87ST40,"Shah PK, Mudahar, S, Aroda, V et al. (2007) Weight gain and fat distribution with pioglitazone in patients with type 2 diabetes on insulin therapy. Journal of Investigative Medicine 55 (Supplement):S95",,,,,,,
CG87ST41,"Singh S, Loke YK, Furberg CD (2007) Long-term risk of cardiovascular events with rosiglitazone: a meta-analysis. JAMA 298: 1189-95",,,,,,,
CG87ST42,"Smith I, Palmer AJ, Roze S et al. (2004) Cost-effectiveness analysis of insulin detemir compared to NPH insulin in patients with type 2 diabetes in the United Kingdom. Value in Health 7: 735-6.",,,,,,,
CG87ST43,"Tran, K., Banerjee, S., Li, H. et al. (2007) Short-acting insulin analogues for diabetes mellitus: meta-analysis of clinical outcomes and assessment of cost- effectiveness. Ottawa: The Canadian Agency for Drugs and Technologies in Health (CADTH)",,,,,,,
CG87ST44,"Valentine WJ, Erny-Albrecht KM, Ray JA et al. (2007) Therapy conversion to insulin detemir among patients with type 2 diabetes treated with oral agents: a modeling study of cost-effectiveness in the United States. Advances in Therapy 24: 273-90",,,,,,,
CG87ST45,"Warren E, Weatherley-Jones E, Chilcott J et al. (2004) Systematic review and economic evaluation of a long-acting insulin analogue, insulin glargine. Health Technology Assessment 8: iii, 1-iii,57",,,,,,,
