"Set GUID","Topic","Sub Topic","Set rationale","Set discussion"
"CG73S9","Defining progression of CKD and the risk factors associated with progression","Defining progression","The Renal NSF adopted the US National Kidney Foundation Kidney Disease Outcomes Quality Initiative (NKF-KDOQI) classification of CKD.35 Whilst the beauty of this classification is its simplicity, this is also its weakness. The clinical features and course of CKD are dependent on a number of factors including the underlying cause, severity and associated conditions of the underlying cause.
Although the classification of CKD into 5 stages has been widely adopted, it has been criticised as not being sufficiently sophisticated for clinical needs. The existing classification is neither staged according to age, nor according to level of proteinuria. All patients, regardless of age, gender and proteinuria/albuminuria are considered to have at least moderately severe CKD when their GFR is <60 ml/min/1.73 m2. This guideline recommends that stage 3 should be subdivided into 3A and 3B, and that the suffix ‘(p)’ in parenthesis be adopted in the different stages to underline the importance of proteinuria/albuminuria as an independent risk factor for adverse outcomes (Table 6.1).
A further criticism of the existing classification of CKD has been the suggestion that loss of GFR is a feature of ageing and that many people classified as stage 3 CKD are merely exhibiting a normal ageing process. The effects of normal ageing on renal function are controversial. Data from some studies suggest that the decline in GFR with increasing age may be largely attributable to comorbidities such as hypertension and heart failure. Loss of renal function may not, therefore, be an inevitable consequence of ageing.158–160 This was supported by studies demonstrating no or very little decline in GFR in the older population with longitudinal follow-up. The focus of defining progression of CKD in this section was to consider what constitutes progression in terms of rate of decline of GFR in order to provide clear guidance to clinicians. However, controversy over what constitutes normality in the group with the highest prevalence of CKD makes defining what constitutes progression even more difficult. Consideration must also be given to the inherent biological and analytical variation associated with estimation of GFR from serum creatinine measurements.","The GDG agreed that the evidence regarding the relationship between adverse outcomes and levels of GFR should be used as the basis of defining CKD but noted that the management and prognosis in people with a reduced but stable GFR may be quite different to that in people with a progressive decline in GFR. Hence the consideration of the evidence centered on a review of whether there is a decline in GFR and whether the decline was always the result of kidney disease or whether there was a ‘natural’ decline as a function of ageing and if so what level of decline should be considered normal.
The longitudinal studies contained mixed populations in that not all participants were followed up for the full duration of the study.
The lower kidney function described in one study of older people may be due to unrecognised kidney disease. However, there appears to be a small ‘natural’ age related decline in kidney function. Nevertheless it was recommended that the interpretation of GFR measurements should not normally be affected by the age of the person and that a low value should prompt the same response regardless of age.
The GDG agreed that a decline in GFR of more than 2 ml/min/1.73 m2 per year was more than could be accounted for by ageing alone.
The GDG recommended that, when interpreting the rate of decline of eGFR, it was also necessary to consider the baseline level of kidney function and the likelihood that kidney function would reach a level where renal replacement therapy would be needed if the rate of decline was maintained. For example, a rate of decline of 3 ml/min/1.73 m2 per year would be of greater concern in a person with a baseline eGFR of 30 ml/min/1.73 m2 aged 40 than in a person aged 70 with a baseline eGFR of 60 ml/min/1.73 m2.
When assessing the rate of decline in eGFR, the GDG agreed that a minimum of 3 measurements in not less than 90 days was required (depending on the initial level of eGFR). If a large and unexplained fall in GFR was observed, more frequent monitoring would be needed. Changes in GFR must be interpreted in light of the evidence on biological and assay variability in serum creatinine measurements, which is estimated at 5%. A calculation based on this would suggest that a decline in eGFR of 10 ml/min/1.73m2 per year would carry a 95% probability of significance. However, given that a decline in eGFR of more than 2 ml/min/1.73 m2 per year was more than could be accounted for by ageing alone the GDG agreed to define progression as either a decline in eGFR of >5 ml/min/1.73m2 within 1 year or a decline of >10 ml/min/1.73m2 within 5 years.
There was evidence from an IPD meta-analysis that people with CKD and diabetes are at increased risk of mortality compared to those without diabetes irrespective of eGFR. The effect on progression of CKD was suggestive of an increased risk in people with diabetes, but the association was less clear. 
The only available evidence for glomerular disease compared progression in different histological types of primary glomerulonephritis. Evidence suggested that membranous nephropathy, IgA nephropathy and focal segmental glomerulosclerosis and membranoproliferative glomerulosclerosis were all associated with a sequentially increased risk of end stage renal disease or dialysis than minimal change disease (membranoproliferative glomerulonephritis carried the greatest risk). Focal segmental glomerulosclerosis was associated with a greater risk of end stage renal disease than IgA nephropathy. However, the increased risk of all-cause mortality was only greater in membranous nephropathy, focal segmental glomerulosclerosis and membranoproliferative glomerulonephritis. The GDG agreed a recommendation could not be based on this evidence alone, although it did suggest that type of glomerular disease could influence CKD progression. The objective of this review was to determine whether adverse outcomes are 
different in people with CKD and AKI (or history of AKI) compared to those without AKI. However, there was overlap with another question to determine whether an episode of AKI affects progression of CKD. The evidence reviewed included a mixture of comparisons. One compared two types of AKI, CKD and a control group,12 one compared people with CKD to different stages of AKI313
 and another compared people with and without prior CKD with or without AKI.425 The study which most directly met the review question, did not present sufficient data for analyses.207
However, the included studies did indicate that AKI increases risk of CKD progression, at all levels of eGFR. The GDG discussed that current practice was to treat people who recover from AKI as normal and not at increased risk of CKD, but evidence from this review suggests that this is not the case. In light of this evidence the GDG agreed that recommendation R25 from CG73 should include AKI in the list of risk factors that indicate testing for CKD be considered when the other AKI review was considered. The GDG also agreed that it was important to draft a recommendation to highlight 
that cause of CKD should be investigated following diagnosis. This was particularly important with a view to identifying possible treatable causes of CKD. 
compared people with CKD to different stages of AKI313 and another compared people with and without prior CKD with or without AKI.425
 The study which most directly met the review question, did not present sufficient data for analyses.207 However, the included studies did indicate that AKI increases risk of CKD 
progression, at all levels of eGFR. The GDG discussed that current practice was to treat people who recover from AKI as normal and not at increased risk of CKD, but evidence from this review suggests that this is not the case. In light of this evidence the GDG agreed that recommendation R25 from CG73 should include AKI in the list of risk factors that indicate testing for CKD be considered when the other AKI review 
was considered. 
The GDG also agreed that it was important to draft a recommendation to highlight that cause of CKD should be investigated following diagnosis. This was particularly important with a view to identifying possible treatable causes of CKD. 
"
"CG73S10","Defining progression of CKD and the risk factors associated with progression","Risk factors associated with progression of CKD","In the literature, progression of kidney disease has been variously defined as doubling of serum creatinine, declining GFR or creatinine clearance, increasing proteinuria/albuminuria, and progression to renal replacement therapy (RRT, dialysis or kidney transplantation) or end stage renal disease. The list of possible factors associated with progression does not consider how differences in access to healthcare and poverty may influence the initiation and progression of CKD. Specifically, neither early life influences governing foetal development and low birth weight nor childhood factors contributing to the emergence of hypertension and diabetes are considered here.
Whilst it is clear that CKD is common, and recently published studies suggest that its prevalence is increasing,22 it is also clear that many people with diagnosed CKD do not progress.11,12 Importantly, their risk of cardiovascular disease is massively increased compared to the general population. In those that do progress, the subsequent mortality and morbidity risks rise exponentially, as do the associated healthcare costs. A reduced GFR is also associated with a wide range of complications such as hypertension, anaemia, renal bone disease, malnutrition, neuropathy and reduced quality of life. It is therefore important to clarify exactly what factors are associated with CKD progression, and which are remediable or potentially modifiable, in order to intervene at the earliest possible stage and improve the associated adverse outcomes.

","The GDG accepted that there was extensive clinical evidence that hypertension, diabetes and the presence of proteinuria are well recognised risk factors for progression of CKD.
The GDG also accepted that nephrotoxic drugs may affect progression. Of particular concern are the possible acute and chronic effects of NSAIDs which are available without prescription. Acute use of NSAIDs can lead to an acute and usually reversible fall in GFR but chronic use at therapeutic doses could be associated with progression of CKD. The GDG considered that the Murray et al. study examining the effects of chronic use of NSAIDs had follow-up too short to allow meaningful conclusions to be drawn. It was recommended that if chronic use of NSAIDs was considered clinically necessary the effect on GFR should be monitored and the drugs should be stopped if there is evidence of progressive CKD.
The evidence about possible adverse effects of aspirin was felt to be confounded by the use of aspirin in patients with cardiovascular disease which is a known risk factor for progression of CKD.
The evidence on the effects of smoking and ethnicity on the risk of progression was not conclusive but was sufficiently suggestive to merit highlighting within a recommendation.
The evidence on the effects of obesity on the risk of progression was unconvincing and did not require highlighting within a recommendation.
Despite the lack of evidence for urinary outflow tract obstruction for progression of CKD, the GDG consensus was that obstruction to outflow would lead to progression of CKD. Therefore it was agreed that urinary outflow tract obstruction should be considered as a risk factor.
"
"CG73S11","Other complications of chronic kidney disease","Bone Metabolism and Osteoporosis 
","Alterations in the control mechanisms for calcium and phosphate homeostasis occur early in the course of CKD and progress as kidney function decreases. Changes that occur include abnormalities of calcium, phosphate, parathyroid hormone (PTH), and vitamin D metabolism; together with abnormalities of bone turnover, mineralisation, volume, linear growth, and strength; plus vascular or soft tissue calcification.245 A wide variety of disturbances of bone metabolism may occur in the setting of CKD necessitating an understanding of the changes that occur in order to design a  treatment strategy. However, an in-depthdiscussion of metabolic bone disease in CKD is beyond the  scope of this guideline. This section is focussed on the changes that occur early in the course of CKD. The aim is to prevent metabolic bone disease by maintaining the blood levels of calcium and phosphate as close to normal as possible, and preventing the development of established  hyperparathyroidism and parathyroid hyperplasia. Central to the prevention of these disturbances is an ability to intervene early, recognising that bone disease in people with kidney disease is often asymptomatic, and symptoms appear only late in its course, long after the gold standard for assessment of metabolic bone disease it is neither widely available nor widely used. Biochemical assessment is the mainstay of diagnosis and treatment. In addition to  measurements of calcium and phosphate it is essential to obtain a direct index of parathyroid activity  by measurement of PTH. Under certain circumstances measurement of vitamin D may also be necessary. When should these parameters be measured and at what frequency should they be  repeated?","The GDG noted that in many of the studies the results were not broken down by stage of CKD or level of GFR. Although there were statistically significant differences in mean calcium concentrations at different levels of GFR these were unlikely to be clinically significant differences. On the basis of the evidence the GDG agreed that there was no need to routinely measure serum calcium concentrations in  people with stage 1, 2 and 3A CKD and that it was not usually necessary to measure it in people with  stage 3B CKD. The GDG noted that although there were statistically significant differences in mean phosphateconcentrations at different levels of GFR these values were all within the normal range. Serum phosphate concentrations generally fell within the normal range unless the GFR level was below 20 ml/min/1.73 m2. 12 On the basis of the evidence the GDG agreed that there was no need to routinely measure serum phosphate concentrations in people with stage 1, 2 and 3A CKD and that it was not usually necessary to measure it in people with stage 3B CKD.  The prevalence of hyperparathyroidism in people with a reduced GFR was higher than in healthy  individuals; however, the significance of modestly elevated PTH concentrations was thought unclear and there was no consensus on whether people with concentrations elevated to this extent benefit from treatment. On the basis of the evidence the GDG agreed that there was no requirement to routinely measure serum PTH concentrations in people with stage 1, 2 and 3A CKD and that it was not usually necessary to measure it in people with stage 3B CKD in absence of specific indications. 
Specific indications to measure serum PTH would include unexplained hypercalcaemia and symptoms suggestive of hyperparathyroidism. 
Most laboratories do not measure 1,25 dihydroxyvitamin D concentrations. On the basis of the evidence the GDG agreed that there was no need to routinely measure serum vitamin D concentrations in people with stage 1, 2 and 3A CKD and that it was not usually necessary to measure it in people with stage 3B CKD except where there are specific indications such as unexplained hypocalcaemia or symptoms suggestive of vitamin D deficiency.  Because of the increased prevalence of abnormal serum calcium, phosphate, PTH and vitamin D concentrations in people with stage 4 and 5 CKD and the fact that these people may require 
treatment for renal bone disease it was recommended that calcium, phosphate and PTH concentrations should be measured in people with stage 4 and 5 CKD. There was no evidence to guide a recommendation about how frequently the calcium, phosphate, PTH and vitamin D concentrations should be measured in people with stage 4 and 5 CKD and the GDG agreed that this would be determined by the clinical circumstances. 
"
"CG73S12","Other complications of chronic kidney disease","Risks and benefits of bisphosphonates for preventing osteoporosis in adults with CKD ","Osteoporosis is caused by the cumulative effect of bone resorption in excess of bone formation.  Bisphosphonates inhibit bone resorption with relatively few side effects and are widely used for the prevention and treatment of osteoporosis. Osteoporosis can also develop in people with CKD and ESRD for many reasons beyond age-related bone loss and postmenopausal bone loss. People with CKD are far more likely than the general population to have conditions putting them at risk of osteoporosis and are much more likely to be prescribed medication promoting development of osteoporosis. The diagnosis of osteoporosis in people with advanced CKD is not as straightforward as it is in people with postmenopausal osteoporosis. Neither fragility fractures nor the World Health Organization bone mineral density criteria can be used to diagnose osteoporosis in this population since all forms of renal bone disease may fracture or have low ‘T scores’. The diagnosis of osteoporosis in people with CKD must be done by first excluding the other forms of renal osteodystrophy.256 33 Bisphosphonates are poorly absorbed orally (1–5% of an oral dose), and absorption is best when the drug is given on an empty stomach. Approximately 80% of the absorbed bisphosphonate is usually cleared by the kidney, the remaining 20% being taken up by bone. Relative bone uptake is increased in conditions of high bone turnover, with less of the drug being excreted by the kidneys. The plasma half-life is approximately one hour, while the bisphosphonate may persist in bone for the lifetime of the patient. ","The GDG concluded that from the studies presented there was no evidence of an increased risk of drug related adverse events in people with CKD. Bisphosphonates appeared to have benefits on bone mineral density in people with CKD. The studies did not include people with a GFR <30 ml/min/1.73 m2and therefore there is no evidence about either the effectiveness or the safety of bisphosphonates in this group. Guidelines on the management of osteoporosis do not make recommendations that relate to people with CKD. The dose of bisphosphonate may need adjusting according to the GFR and clinicians should refer to  the drugs’ Summary of Product Characteristics (SPC) for guidance on this. 
"
"TA288S1","Current practice","Current practice","Clinical need of patients, including the availability of alternative treatments 
","The Committee heard evidence from the patient experts that an advantage of dapagliflozin is that it will provide a further treatment option for people with type 2 diabetes who are reluctant to start treatment with insulin or wish to avoid insulin therapy because of fear of hypoglycaemia and its impact on their lifestyle (for example, the threat of losing their driving licence or their job). 
"
"TA288S2","The Technology","The Technology","Proposed benefits of the technology. How innovative is the technology in its potential to make a significant and substantial impact on health-related benefits? 

","The Committee recognised that a new drug therapy that was associated with a lower risk of hypoglycaemia than some other existing therapies would be valued by patients for whom driving might be a significant factor in their lifestyle or livelihood. The Committee heard from the clinical specialists that dapagliflozin may be more likely to be used as a triple therapy but could be used as a dual therapy if there was a perceived risk of hypoglycaemia. The Committee concluded that on the basis of the evidence from the clinical specialists, dapagliflozin was most likely to be used if a sulfonylurea was not appropriate, and the main comparator for dapagliflozin would be the DPP-4 inhibitors.  Common adverse events included urinary tract and genital infections and these events were more common in women than in men. However, the Committee heard from the manufacturers that the recurrence of these events in the clinical trials was low. and genital infections and these events were more common in women than in men. 
The Committee concluded that the adverse events profile of dapagliflozin was different from those of other antidiabetic therapies and that these adverse events were important to examine when considering the manufacturers' economic model. 



"
"TA288S3","Evidence for Clinical Effectiveness","Evidence for Clinical Effectiveness","Availability, nature and quality of evidence 
","For dapagliflozin as an add-on to metformin, the evidence came from 3 clinical trials and a network meta-analysis. Only 1 of the clinical trials of dapagliflozin had an active comparator (sulfonylurea) and the clinical effectiveness of dapagliflozin compared with DPP-4 inhibitors, thiazolidinediones and GLP-1 analogues was based solely on network meta-analysis. For dapagliflozin as an add-on to metformin, the 
evidence came from 3 clinical trials and a network meta-analysis. Only 1 of the clinical trials of dapagliflozin had an active comparator (sulfonylurea) and the clinical effectiveness of dapagliflozin compared with DPP-4 inhibitors, thiazolidinediones and GLP-1 analogues was based solely on network meta-analysis. 
For dapagliflozin as add-on therapy to insulin, the evidence came from 2 clinical trials and a network meta-analysis. Both trials were placebo controlled and 1 was of 12 weeks duration only. 
The trial results for dapagliflozin were based on a relatively small number of patients who were treated with dapagliflozin at its licensed dose. The network meta-analysis excluded trials of GLP-1 analogues because they were not comparable to other trials included in the analysis and therefore consideration of the full range of possible comparators was restricted by the available evidence. Dapagliflozin is currently being studied as a triple therapy add-on to 2 other oral agents and, in the absence of any other currently available clinical-effectiveness data, the manufacturers provided a post hoc analysis of pooled data from a subset of older patients with type 2 diabetes and cardiovascular disease recruited in 2 trials of dapagliflozin as an add-on to metformin and sulfonylurea. The Committee concluded that significant caution should be taken when interpreting the results of these preliminary analyses. 
The Committee discussed the outcomes collected in the clinical trials and network meta-analyses, noting that the primary outcomes were intermediate rather than clinical outcomes and that these were collected over a relatively short follow-up
The Committee concluded that, despite some uncertainty about the impact of HbA1c reduction on longer-term macrovascular complications, it was prepared to accept the link between intermediate outcomes collected in the clinical trials and longer-term clinical outcomes. 
The Committee concluded that, on the basis of the results of the network meta-analyses, dapagliflozin in dual therapy as add-on to metformin appeared to provide similar glycaemic control to other antidiabetic drugs but may result in greater weight loss. 
The Committee concluded that, on the basis of the results of the network meta-analyses, dapagliflozin as add-on therapy to insulin appeared to have greater efficacy than DPP-4 inhibitors for the outcome of weight loss and similar efficacy for HbA1c reduction.


"
"TA288S4","Evidence for Cost Effectiveness","Evidence for Cost Effectiveness","Availability, nature and quality of evidence 
","The manufacturers had provided a revised economic model in order to address concerns raised by the DSU about the original model and the DSU considered that their concerns had been addressed. However, the DSU and the ERG had identified a number of errors in the revised model which were subsequently addressed by the DSU in its exploratory analyses. The Committee concluded that the manufacturers' revised economic model with the subsequent amendments made by the DSU was acceptable for assessing the cost effectiveness of dapagliflozin in combination therapy for treating type 2 diabetes. 
The Committee concluded that the results of the validation exercise with the CORE diabetes model provided reassurance about the integrity of the results obtained from the manufacturers' revised economic model. 
In terms of the clinical-effectiveness data that were applied in the economic models, the Committee considered that it was more appropriate to use a single source as was available in the 52-week network meta analysis, but was aware of the limited number of trials informing this analysis. It also noted that the 24-week network meta-analysis only excluded sulfonylureas, and that the evidence from the 
clinical specialists suggested that dapagliflozin would be used where a sulfonylurea was not appropriate. On this basis the 24-week network meta-analysis data were appropriate. 
The Committee heard from the DSU that the results from the revised model were sensitive to the timing of treatment switching in the model which was dependent on the relationship between HbA1c at the start of treatment, treatment-related changes in HbA1c levels and the HbA1c threshold levels for switching treatment
The Committee considered that uncertainty remained about the effects of stopping treatment with dapagliflozin and the impact on weight gain. Therefore, it concluded that the scenario analysis conducted by the DSU, which involved the convergence of differences in weight profiles between treatment groups at the time of switching to the last line of treatment, was more appropriate for decision-making. 
The Committee considered the utility values applied in the model, noting that the majority of the QALY gains associated with dapagliflozin arose from the direct impact of weight change on health-related quality of life rather than a reduction of diabetic complications and other adverse events. The Committee concluded that the utility values associated with changes in weight may have been too large and that the 
values applied in the manufacturers' scenario analyses and DSU analyses were more reasonable. 
The Committee noted that the DSU had completed analyses that included both the higher and lower estimates of loss of utility associated with hypoglycaemic events, and that these had made small differences to the estimates of the ICER. 
The Committee concluded that, although the loss in utility associated with urinary tract and genital infections was likely to be greater than that proposed by the manufacturers, it was satisfied that this did not significantly impact on the relative cost effectiveness of dapagliflozin as dual therapy or add-on to insulin
The Committee noted that in all settings the majority of the QALY gains associated with dapagliflozin arose from the direct impact of weight change on health-related quality of life rather than from a reduction of diabetic complications and other adverse events. For dapagliflozin as dual therapy in combination 
with metformin, the Committee considered the DSU deterministic analysis and scenario analyses, which included the convergence of differences in weight between treatment groups at the time of switching to the last line of treatment. It noted that these showed that DPP-4 inhibitors were associated with higher costs and QALYs than dapagliflozin, but that these differences were small. It noted further that in the DSU probabilistic sensitivity analysis these differences were even smaller. 
For dapagliflozin as add-on to insulin, the Committee noted that in all the analyses conducted by the DSU the estimate of the ICER. for dapagliflozin compared with DPP-4 inhibitors was below £20,000 per QALY. 
The Committee concluded that its 
recommendations would not have a particular 
impact on any of the groups whose interests are protected by the equalities legislation and that there was no need to alter or add to its recommendations. 
"
"CG87S1.1","Patient Education","Patient Education","Type 2 diabetes mellitus is a progressive long-term medical condition that is predominantly
managed by the person with the diabetes and/or their carer as part of their daily life. Accordingly,
understanding of diabetes, informed choice of management opportunities, and the acquisition of
relevant skills for successful self-management play an important role in achieving optimal
outcomes. Delivery of these needs is not always assured by conventional clinical consultations.
Structured programmes have been designed not only to improve people’s knowledge and skills,
but also to help motivate and sustain people with diabetes in taking control of their condition and
in delivering effective self-management.","The GDG noted that the last review of this area by a HTA on behalf of NICE in 2003 looked at the evidence for structured education. Little robust evidence of the effectiveness of any particular educational approach for people with Type 2 diabetes was found. One conclusion was that further research was required, but meanwhile that educational programmes with a theoretical basis demonstrated improved outcomes, and that group education was a more effective use of resources and may have additional benefits.
"
"CG87S1.6.1","DPP-4 inhibitors (sitagliptin, vildagliptin) 
","DPP-4 inhibitors (sitagliptin, vildagliptin) ","Human GLP-1 has an extremely short half-life in the body. Dipeptidyl  peptidase-4 breaks down GLP-1, so inhibiting this enzyme prolongs the activity of GLP-1. DPP-4 inhibitors are taken orally and, in general, are not associated with weight loss. 

","The GDG discussed how DPP-4 inhibitors (sitagliptin, vildagliptin) should be used in the pathway of care, and how to identify those people or groups of people with the greatest potential to benefit. 
Overall, the GDG agreed that DPP-4 inhibitors (sitagliptin and vildagliptin) were appropriate options for use in dual therapy. (See also the considerations concerning cost effectiveness in section 2.7.2.) Recommendations were also made on the use of the DPP-4 inhibitor sitagliptin48 in triple therapy specifically when insulin use was considered inappropriate or was unacceptable to the person with diabetes. The GDG considered it appropriate to define a beneficial metabolic response for continuation of these agents. The choice of at least 0.5 percentage point reduction in HbA1c at 6 months, although not based in evidence, was agreed as a clinically important response from a starting level of 7.5% HbA1c or less; however, the GDG acknowledged that many patients will start a DPP-4 inhibitor at higher levels of HbA1c. Prescribers should be aware, as with all biochemical results, that measurement variability exists, and any test results should be interpreted in this light. There is also a need to ensure, in the absence of long-term safety data, that people do not remain on medications that do not produce the anticipated benefits. This would also ensure that HbA1c levels do not remain inadequately controlled for long periods. 
from a starting level of 7.5% HbA1c or less; however, the GDG acknowledged that many patients will start a DPP-4 inhibitor at higher levels of HbA1c. Prescribers should be aware, as with all biochemical results, that measurement variability exists, and any test results should be interpreted in this light. There is also a need to ensure, in the absence of long-term safety data, that people do not remain on medications that do not produce the anticipated benefits. This would also ensure that HbA1c levels do not remain inadequately controlled for long periods. 

"
"CG87S1.6.2","Thiazolidinediones","Thiazolidinediones","The thiazolidinediones include pioglitazone and rosiglitazone. These oral 
drugs may be taken in combination with other oral agents or, in the case of 
pioglitazone, with insulin. They work by increasing the body’s sensitivity to 
insulin. These drugs rarely cause hypoglycaemia, but commonly cause weight 
gain. They are associated with fluid retention (including peripheral oedema) 
and distal bone fractures (in women only). 
","Overall, the GDG agreed that thiazolidinediones (pioglitazone) were appropriate options for use in dual therapy.  Recommendations were also made on the use of pioglitazone with insulin and the thiazolidinediones in triple therapy, specifically if insulin use was  considered inappropriate or was unacceptable to the person with diabetes. As for the DPP-4 inhibitors, the GDG considered it appropriate to define a  beneficial metabolic response for continuation of these agents. The same  rationale applies for the definition of the metabolic response (that is, at least a  0.5 percentage point reduction in HbA1c at 6 months with a starting level of  6.5% or 7.5% – a higher intervention level may be agreed with the individual).  The GDG acknowledged that there were more data on safety for the thiazolidinediones (pioglitazone ) than for the DPP-4 ,inhibitors (sitagliptin and vildagliptin), with evidence showing risks associated  with both pioglitazone and rosiglitazone. The continuation criterion aims to ensure that people do not remain for long periods on medication that is ineffective at controlling their HbA1c levels"
"CG87S1.6.3","GLP-1 mimetic (exenatide)","GLP-1 mimetic (exenatide)","Exenatide is a GLP-1 mimetic (also described as an incretin mimetic); it 
increases insulin secretion, suppresses glucagon secretion and slows gastric 
emptying. Patients must inject exenatide twice daily. 
","The GDG discussed how a GLP-1 mimetic (exenatide) should be used in the  pathway of care, and how to identify those people or groups of people with the greatest potential to benefit.  Overall, the GDG agreed that a GLP-1 mimetic (exenatide) was not an  appropriate option for use in second-line therapy. (See also considerations concerning cost effectiveness in section 2.7.2.) However, recommendations were made on the use of exenatide in third-line therapy, specifically if weight loss was an important clinical factor. 
"
"CG87S1.6.4","Long-acting human insulin analogues","Long-acting human insulin analogues","Insulin detemir and insulin glargine are long-acting human insulin analogues.  They are prepared by modifying human insulin to change its solubility. This  allows slow release into the bloodstream from subcutaneous tissue and a  longer duration of action, which more closely mimics natural basal insulin secretion.  Both insulin detemir and insulin glargine are administered via subcutaneous  injection and are licensed for use with oral glucose-lowering agents. 
","The GDG discussed how long-acting insulin analogues should be used in the  pathway of care, and how to identify those people or groups of people with the ngreatest potential to benefit.  In NICE clinical guideline 66, NPH insulin was recommended as the  ‘preferable’ choice of the initial insulin; however, based on the new cost  effectiveness modelling, the GDG considered that this recommendation  should be clarified, and should recommend that NPH insulin should be used nas the initial insulin. (See also considerations concerning cost effectiveness in section 2.7.2.) The GDG also considered that there were situations in which  the use of insulin glargine or insulin detemir could be recommended only after a trial of NPH insulin; recommendations were made on their use in subgroups with the greatest potential to benefit, based on clinical judgement. 
"
"CG87S1.6.5","Cost effectiveness","Cost effectiveness","The Assessment Group undertook a systematic review of relevant cost and 
cost-effectiveness studies. The review also considered evidence published in 
abstracts. The majority of the studies identified by the Assessment Group 
were not UK based, and many were sponsored by drug manufacturers. 
Unless otherwise stated, the following summary focuses on full economic 
evaluations undertaken from a UK perspective.","The GDG recognised the many strengths but also the limitations of using the  UK Prospective Diabetes Study (UKPDS) Outcomes Model as a basis for  modelling because it predicts only the first event in any single category of  diabetes-related complications. In addition, not all relevant complications are included in the model (for example, peripheral neuropathy is excluded). Moreover, there was concern that the UKPDS may fail to adequately capture the impact of weight changes on health-related quality of life, or diabetic complications that occur infrequently. The GDG acknowledged that measures of adiposity may not independently increase the risk of some diabetic complications. Given these limitations, the analysis developed by the Assessment Group attempted to take into account potential direct quality of life gains associated with weight changes and the reduced fear of hypoglycaemic episodes. The Assessment Group also attempted to explore the impact of changing the baseline rate of complications. 
"
"CG173S1","Care process and support","Key Principles of Care","There was no specific review question regarding the key principles of care. The GDG agreed that elements of care other than pharmacological 
treatments, such as the person’s experience, their information needs, 
individual preferences and different lifestyle factors, are also important 
to be considered in a person’s care pathway. 

However, the GDG agreed that patient care is particularly important in the 
treatment of neuropathic pain. The GDG decided that this should be further 
discussed to make recommendations for good principles of care based on 
informal consensus.
"," No evidence was considered in this section and therefore 
there were no evidence statements. The recommendations were based on the 
expertise and experience of the GDG. "
"CG173S2","Treatment","All neuropathic pain (except trigeminal neuralgia) 
","When it had reviewed evidence for peripheral neuropathic pain (see 
section 3.2) and central neuropathic pain (see section 3.3), the GDG 
concluded it was most appropriate to provide a single set of 
recommendations for all forms of neuropathic pain (except trigeminal 
neuralgia), based on the overall analysis combining all types of pain. 
The reasons for not providing separate recommendations for 
peripheral and central pain are provided in sections 3.2.4 and 3.3.4 
respectively. 
","As a result of the low-quality evidence (and high uncertainty of the  results from the analyses referred to above), the GDG relied heavily  on their experience and clinical opinion when making  recommendations. The GDG also stated that better-quality research  was needed (please see research recommendations).  The GDG also advised that combination therapies should be further  explored, because the effect of adding a treatment onto another  treatment may be more practical and effective than switching to a new  treatment. The GDG also considered that the use of combination 
therapies could potentially reduce side effects of particular  pharmacological agents through using a combination of lower  dosages. However, current evidence is not sufficient to warrant any  recommendation on combination therapies. As a result, the GDG  recommended further research into combination therapies (please see 
research recommendations). 
The GDG discussed concerns that had been raised about people 
becoming dependent on drugs such as gabapentin and pregabalin. 
The GDG was not aware of any such issues, either in their clinical 
experience or in the evidence included in the guideline. The GDG 
further agreed that the potential for dependency was not limited to Neuropathic pain – pharmacological management: NICE clinical guideline 173 (November
2013) Page 69 of 138 these drugs and is associated with a number of drugs, including 
opioids. The GDG was also concerned that people with a history of maddiction or drug dependency could possibly be denied effective mdrugs. Based on this concern and the lack of evidence in the area, the mGDG could not make a specific recommendation about the potential  for dependency with certain drugs, but felt that the issue could be 
explored when assessing the risks and benefits for the individual 
person. NICE highlighted the following issues:  ? The uncertainty of the clinical evidence of efficacy included within  the guideline and the consequent low reliability of the health 
economic model.  ? The requirement for the guideline to cover all types of neuropathic 
pain by a licensed or best available treatment.  ? The recommendation of an off-label preparation above a licensed  preparation based on cost alone but in the absence of clear evidence of greater clinical efficacy in the outcomes identified as 
critical by the GDG. 
These issues have led NICE to the decision that we are unable to  endorse a recommendation for an off-label pharmacological  preparation ahead of a licensed pharmacological preparation in the  absence of strong clinical evidence. For this reason, recommendation  1.1.8 includes duloxetine and pregabalin as initial treatment options 
for neuropathic pain alongside amitriptyline and gabapentin. 
 
Nortriptyline is no longer recommended in the guideline. "
