"Recommendation GUID","Recommendation body","Recommendation title","Recommendation Grade Code","Set GUID"
"CG73R1.3.7","In people with CKD the chronic use of NSAIDs may 
be associated with progression and acute use is associated with a reversible decrease in GFR. Exercise caution when treating people with CKD with NSAIDs over prolonged periods of time. Monitor the effects on GFR, particularly in people with a low baseline GFR and/or in the presence of other risks for progression.","Progression and chronic use of NSAIDS","","CG73S10"
"CG73R1.7.1","Do not routinely measure calcium, phosphate, parathyroid hormone (PTH) and vitamin D levels  in people with stage 1, 2, 3a or 3b CKD.","Masurement in people with stage 1,2,3a,3b CKD","","CG73S11"
"CG73R1.7.2","Measure serum calcium, phosphate and PTH concentrations in people with stage 4 or 5 CKD (GFR less than 30 ml/min/1.73 m2 Determine the subsequent frequency of testing by the measured values and the clinical circumstances. Where doubt exists seek specialist opinion. ","Measurement in people with stage 4 or 5","","CG73S11"
"CG73R1.7.3"," Offer bisphosphonates if indicated for the prevention and treatment of osteoporosis in people  with stage 1, 2, 3a or 3b CKD.","Bisphosphonates for osteoporosis","","CG73S12"
"TA288R1.1","Dapagliflozin in a dual therapy regimen in combination with metformin is recommended as an option for treating type 2 diabetes, only if it is used as described for dipeptidyl peptidase-4 (DPP-4) inhibitors in Type 2 diabetes: the management of type 2 diabetes (NICE clinical guideline 87). 
","Dapagliflozin in a dual therapy regimen with metformin","","TA288S4"
"TA288R1.2","Dapagliflozin in combination with insulin with or without other antidiabetic drugs is recommended as an option for treating type 2 diabetes.","Dapagliflozin in combination with insulin with or without other antidiabetic drugs","","TA288S4"
"TA288R1.3","Dapagliflozin in a triple therapy regimen in combination with metformin and a sulfonylurea is not recommended for treating type 2 diabetes, except as part of a clinical trial.","Dapagliflozin in a triple therapy regimen in combination with metformin and a sulfonylurea","","TA288S4"
"TA288R1.4","People currently receiving dapagliflozin in a dual or triple therapy regimen that is not recommended for them in 1.1 or 1.3 should be able to continue treatment until they and their clinician consider it appropriate to stop.","Treatment course for those currently receiving dapagliflozin in a dual or triple therapy regimen","","TA288S4"
"CG87R1.6.1.1","Consider adding a DPP-4 inhibitor (sitagliptin, vildagliptin) instead of a sulfonylurea as second-line therapy to first-line metformin when control of blood glucose remains or becomes inadequate (HbA1c = 6.5%, or other higher level agreed with the individual) if:  the person is at significant risk of hypoglycaemia or its consequences (for example, older people and people in certain jobs [for example, those working at heights or with heavy machinery] or people in certain social circumstances [for example, those living alone]), or the person does not tolerate a sulfonylurea or a sulfonylurea is contraindicated. 
","When to consider adding DPP-4 inhibitor as second-line therapy to first line metformin","","CG87S1"
"CG87R1.6.1.2 ","Consider adding a DPP-4 inhibitor (sitagliptin, vildagliptin) as second-line 
therapy to first-line sulfonylurea monotherapy when control of blood glucose 
remains or becomes inadequate (HbA1c = 6.5%, or other higher level agreed 
with the individual) if: 
 the person does not tolerate metformin, or metformin is contraindicated.","When to consider adding DPP-4 inhibitor as second-line therapy to first line sulfonylurea","","CG87S1"
"CG87R1.6.1.3","Consider adding sitagliptin9  as third-line therapy to first-line metformin and a  second-line sulfonylurea when control of blood glucose remains or becomes 
inadequate (HbA1c = 7.5% or other higher level agreed with the individual) and  insulin is unacceptable or inappropriate","Consider adding sitagliptin9  as third-line ","","CG87S1"
"CG87R1.6.1.4","Only continue DPP-4 inhibitor therapy (sitagliptin, vildagliptin) if the person 
has had a beneficial metabolic response (a reduction of at least 0.5 
percentage points in HbA1c in 6 months). 
","when to continue DPP-4 inhibitor therapy","","CG87S1"
"CG87R1.6.1.5","Discuss the potential benefits and risks of treatment with a DPP-4 inhibitor 
(sitagliptin, vildagliptin) with the person to enable them to make an informed 
decision. 
A DPP-4 inhibitor (sitagliptin, vildagliptin) may be preferable to a 
thiazolidinedione (pioglitazone, rosiglitazone) if: 
 further weight gain would cause or exacerbate significant problems 
associated with a high body weight, or 
 a thiazolidinedione (pioglitazone, rosiglitazone) is contraindicated, or 
 the person has previously had a poor response to, or did not tolerate, a 
thiazolidinedione (pioglitazone, rosiglitazone). 
There may be some people for whom either a DPP-4 inhibitor (sitagliptin, 
vildagliptin) or a thiazolidinedione (pioglitazone, rosiglitazone) may be suitable 
and, in this case, the choice of treatment should be based on patient 
preference. 
","Discuss the potential benefits and risks of treatment with a DPP-4 inhibitor","","CG87S1"
"CG87R1.6.2.1","Consider adding a thiazolidinedione (pioglitazone, rosiglitazone) instead of a 
sulfonylurea as second-line therapy to first-line metformin when control of 
blood glucose remains or becomes inadequate (HbA1c = 6.5%, or other higher 
level agreed with the individual) if: 
 the person is at significant risk of hypoglycaemia or its consequences (for 
example, older people and people in certain jobs [for example, those 
working at heights or with heavy machinery] or people in certain social 
circumstances [for example, those living alone]), or 
 a person does not tolerate a sulfonylurea or a sulfonylurea is 
contraindicated. 
","When to consider adding a thiazolidinedione as second-line to metformin","","CG87S2"
"CG87R1.6.2.2","Consider adding a thiazolidinedione (pioglitazone)as second line therapy to first-line sulfonylurea monotherapy when control of blood 
glucose remains or becomes inadequate (HbA1c = 6.5%, or other higher level 
agreed with the individual) if","When to Consider adding a thiazolidinedione as second-line to sulfonylurea","","CG87S2"
"CG87R1.6.2.3","Consider adding a thiazolidinedione (pioglitazone) as third-line 
therapy to first-line metformin and a second-line sulfonylurea when control of 
blood glucose remains or becomes inadequate (HbA1c = 7.5%, or other higher 
level agreed with the individual) and insulin is unacceptable or inappropriate","Consider adding a thiazolidinedione (pioglitazone) as third-line ","","CG87S2"
"CG87R1.6.2.4","Do not commence or continue a thiazolidinedione (pioglitazone) 
in people who have heart failure, or who are at higher risk of fracture","therapy to first-line metformin and a second-line sulfonylurea","","CG87S2"
"CG87R1.6.2.5","When selecting a thiazolidinedione (pioglitazone), take into 
account up-to-date advice from the relevant regulatory bodies (the European 
Medicines Agency and the Medicines and Healthcare products Regulatory 
Agency), cost, safety and prescribing issues (see 1.1.13)","Do not commence or continue a thiazolidinedione","","CG87S2"
"CG87R1.6.2.6","Only continue thiazolidinedione therapy (pioglitazone, rosiglitazone) if the  person has had a beneficial metabolic response (a reduction of at least 0.5  percentage points in HbA1c in 6 months).","When to continue thiazolidinedione therapy ","","CG87S2"
"CG87R1.6.2.7","Consider combining pioglitazone with insulin therapy25  for a person:  who has previously had a marked glucose-lowering response to thiazolidinedione therapy (pioglitazone, rosiglitazone), or who is on high-dose insulin therapy and whose blood glucose is inadequately controlled","Consider combining pioglitazone with insulin therapy","","CG87S2"
"CG87R1.6.2.8","Discuss the potential benefits and risks of treatment with a thiazolidinedione (pioglitazone) with the person to enable them to make an informed decision. A thiazolidinedione (pioglitazone, rosiglitazone) may be preferable to a DPP-4 inhibitor (sitagliptin, vildagliptin) if:  the person has marked insulin insensitivity, or  a DPP-4 inhibitor (sitagliptin, vildagliptin) is contraindicated, or  the person has previously had a poor response to, or did not tolerate, a DPP-4 inhibitor (sitagliptin, vildagliptin). There may be some people for whom either a thiazolidinedione (pioglitazone, ) or a DPP-4 inhibitor (sitagliptin, vildagliptin) may be suitable  and, in this case, the choice of treatment should be based on patient preference. 
","Discuss the potential benefits and risks of treatment with a thiazolidinedione","","CG87S2"
"CG87R1.6.3.1","Consider adding a GLP-1 mimetic (exenatide) as third-line therapy to first-line  metformin and a second-line sulfonylurea when control of blood glucose  remains or becomes inadequate (HbA1c = 7.5%, or other higher level agreed  with the individual) and the person has:   a body mass index (BMI) = 35.0 kg/m2  in those of European descent (with appropriate adjustment for other ethnic groups) and specific psychological or medical problems associated with high body weight, or  a BMI < 35.0 kg/m2 and therapy with insulin would have significant occupational implications or weight loss would benefit other significant obesity-related comorbidities. 
","Consider adding a GLP-1 mimetic (exenatide) as third-line therapy to first-line  metformin","","CG87S3"
"CG87R1.6.3.2","Only continue GLP-1 mimetic (exenatide) therapy if the person has had a  beneficial metabolic response (a reduction of at least 1.0 percentage point in HbA1c and a weight loss of at least 3% of initial body weight at 6 months).","continue GLP-1 mimetic (exenatide) therapy if the person has had a  beneficial metabolic response","","CG87S3"
"CG87R1.6.3.3","Discuss the potential benefits and risks of treatment with a GLP-1 mimetic (exenatide) with the person to enable them to make an informed decision. 
","Discuss the potential benefits and risks of treatment with a GLP-1 mimetic","","CG87S3"
"CG87R1.7.2.1","Discuss the benefits and risks of insulin therapy when control of blood glucose remains or becomes inadequate (HbA1c = 7.5% or other higher level agreed with the individual) with other measures. Start insulin therapy if the person agrees. 
","When to discuss the benefits and risks of insulin therapy","","CG87S4"
"CG87R1.7.2.2","For a person on dual therapy who is markedly hyperglycaemic, consider starting insulin therapy in preference to adding other drugs to control blood glucose unless there is strong justification39 not to.","person on dual therapy who is markedly hyperglycaemic","","CG87S4"
"CG87R1.7.2.3","When starting insulin therapy, use a structured programme employing active insulin dose titration that encompasses: 
 structured education 
 continuing telephone support 
 frequent self-monitoring 
 dose titration to target 
 dietary understanding 
 management of hypoglycaemia 
 management of acute changes in plasma glucose control 
 support from an appropriately trained and experienced healthcare 
professional.40
","When starting insulin therapy","","CG87S4"
"CG87R1.7.2.4","Initiate insulin therapy from a choice of a number of insulin types and regimens. Begin with human NPH insulin injected at bed-time or twice daily according to need. 
 Consider, as an alternative, using a long-acting insulin analogue (insulin detemir, insulin glargine) if:  the person needs assistance from a carer or healthcare professional to inject insulin, and use of a long-acting insulin analogue (insulin detemir, insulin glargine) would reduce the frequency of injections from twice to once daily, or  the person’s lifestyle is restricted by recurrent symptomatic 
hypoglycaemic episodes, or  the person would otherwise need twice-daily NPH insulin injections in combination with oral glucose-lowering drugs, or  the person cannot use the device to inject NPH insulin. 
 Consider twice-daily pre-mixed (biphasic) human insulin (particularly if HbA1c = 9.0%). A once-daily regimen may be an option. 
 Consider pre-mixed preparations that include short-acting insulin analogues, rather than pre-mixed preparations that include short-acting human insulin preparations, if: 
a person prefers injecting insulin immediately before a meal, or 
 hypoglycaemia is a problem, or 
 blood glucose levels rise markedly after meals. 

","Initiate insulin therapy from a choice of a number of insulin types and regimens","","CG87S4"
"CG87R1.7.2.5","Consider switching to a long-acting insulin analogue (insulin detemir, insulin 
glargine) from NPH insulin in people: 
who do not reach their target HbA1c because of significant hypoglycaemia, or who experience significant hypoglycaemia on NPH insulin irrespective of 
the level of HbA1c reached, or who cannot use the device needed to inject NPH insulin41  but who could administer their own insulin safely and accurately if a  switch to a long acting insulin analogue were made, or who need help from a carer or healthcare professional to administer insulin injections and for whom switching to a long-acting insulin analogue would reduce the number of daily injections.
","When to consider switching to a long-acting insulin analogue","","CG87S4"
"CG87R1.7.2.6","Monitor a person on a basal insulin regimen (NPH insulin or a long-acting insulin analogue [insulin detemir, insulin glargine]) for the need for short acting insulin before meals (or a pre-mixed insulin preparation)
","Monitor a person on a basal insulin regimen","","CG87S4"
"CG87R1.7.2.7","Monitor a person who is using pre-mixed insulin once or twice daily for the need for a further injection of short-acting insulin before meals or for a change to a regimen of mealtime plus basal insulin, based on NPH insulin or long acting insulin analogues (insulin detemir, insulin glargine), if blood glucose control remains inadequate. 
","Monitor a person who is using pre-mixed insulin once or twice daily","","CG87S4"
"CG173R1.1.1","When agreeing a treatment plan with the person, take into account their 
concerns and expectations, and discuss: 
? the severity of the pain and its impact on lifestyle, daily activities (including 
sleep disturbance) and participation10
 
? the underlying cause of the pain and whether this condition has 
deteriorated 
? why a particular pharmacological treatment is being offered 
? the benefits and possible adverse effects of pharmacological treatments, 
taking into account any physical or psychological problems and concurrent 
medications 
? the importance of dosage titration and the titration process, providing the 
person with individualised information and advice 
? coping strategies for pain and for possible adverse effects of treatment 
? non-pharmacological treatments, for example, physical and psychological 
therapies (which may be offered through a rehabilitation service) and 
surgery (which may be offered through specialist pain services). 
For more information about involving people in decisions and supporting 
adherence, see Medicines adherence (NICE clinical guideline 76). 
","Treatment Plan","N/A","CG173S1"
"CG173R1.1.2","Consider referring the person to a specialist pain service and/or a 
condition-specific service11
 at any stage, including at initial presentation and at 
the regular clinical reviews (see recommendation 1.1.6), if: 
? they have severe pain or 
? their pain significantly limits their lifestyle, daily activities (including sleep 
disturbance) and participation12
 or 
? their underlying health condition has deteriorated","When to refer to specialist service","N/A","CG173S1"
"CG173R1.1.3","Continue existing treatments for people whose neuropathic pain is already 
effectively managed, taking into account the need for regular clinical reviews 
(see recommendation 1.1.6). 
","Effectively managed pain","","CG173S1"
"CG173R1.1.4","When introducing a new treatment, take into account any overlap with the old treatments to avoid deterioration in pain control. ","Introduction of new treatment","D","CG173S1"
"CG173R1.1.5","After starting or changing a treatment, carry out an early clinical review of 
dosage titration, tolerability and adverse effects to assess the suitability of the 
chosen treatment. 
","Clinical review after treatment change","N/A","CG173S1"
"CG173R1.1.6","Carry out regular clinical reviews to assess and monitor the effectiveness of 
the treatment. Each review should include an assessment of: 
? pain control 
? impact on lifestyle, daily activities (including sleep disturbance) and 
participation13
 
? physical and psychological wellbeing 
? adverse effects 
? continued need for treatment. 
","Regular clinical reviews","N/A","CG173S1"
"CG173R1.1.7","When withdrawing or switching treatment, taper the withdrawal regimen to 
take account of dosage and any discontinuation symptoms. 
","Withdrawal of treatment","N/A","CG173S1"
"CG173R1.1.8","Offer a choice of amitriptyline, duloxetine, gabapentin or pregabalin 
as initial treatment for neuropathic pain (except trigeminal 
neuralgia)5","Offer choice as initial treatment","N/A","CG173S2"
"CG173R1.1.9","If the initial treatment is not effective or is not tolerated, offer one of the 
remaining 3 drugs, and consider switching again if the second and third drugs 
tried are also not effective or not tolerated.","If initial treatment ineffective","N/A","CG173S2"
"CG173R1.1.10","Consider tramadol only if acute rescue therapy is needed (see 
recommendation 1.1.12 about long-term use). ","When to consider tramadol",".","CG173S2"
"CG173R1.1.11","Consider capsaicin cream8
 for people with localised neuropathic pain who 
wish to avoid, or who cannot tolerate, oral treatments. ","When to consider capsaicin cream",".","CG173S2"
"CG173R1.1.12","Do not start the following to treat neuropathic pain in non-specialist settings, 
unless advised by a specialist to do so: cannabis sativa extract 
? capsaicin patch 
? lacosamide 
? lamotrigine 
? levetiracetam 
? morphine 
? oxcarbazepine 
? topiramate 
? tramadol (this is referring to long-term use; see recommendation 1.1.10 
about short-term use) 
? venlafaxine.","Do not use in non-specialist setting",".","CG173S2"
"CG173R1.1.13","Offer carbamazepine as initial treatment for trigeminal neuralgia","Initial treatment for trigeminal neuralgia",".","CG173S3"
"CG173R1.1.14","If initial treatment with carbamazepine is not effective, is not 
tolerated or is contraindicated, consider seeking expert advice from 
a specialist and consider early referral to a specialist pain service 
or a condition-specific service. ","Referral if initial treatment for trigeminal neuralgia ineffective",".","CG173S3"
"IPG257R1.1","The evidence on allogeneic pancreatic islet cell transplantation for type 1 diabetes mellitus shows short-term efficacy with some evidence of long-term efficacy. The evidence on safety showsthat serious complications may occur as a result ofthe procedure. The long-term immunosuppressionrequired is also associated with a risk of adverseevents. In units with established experience in allogeneic pancreatic islet cell transplantation, theprocedure may be used with normal arrangementsfor clinical governance (see also section 2.5.2).
","Efficacy of pancreatic islet cell transplantation","","IPG257S1"
"IPG257R1.2","During consent, clinicians should ensure that patients understand the potential complications ofthe procedure and the uncertainty about its efficacy in the long term. They should provide patients with clear, written information. In addition, use of the Institute’s information for patients (‘Understanding NICE guidance’) is recommended (available fromwww.nice.org.uk/IPG257publicinfo). 
","Understanding of potential complications","","IPG257S2"
"IPG257R1.3","Patient selection for this procedure should involve a multidisciplinary team. Selection criteria should take into account that the procedure is particularly indicated for patients with hypoglycaemia unawareness and/or those already on immunosuppressive therapy because of renal transplantation. 
","Patient selection","","IPG257S1"
"IPG257R1.4","Further audit and research should address the effect of the procedure on quality of life and itslong-term efficacy, particularly in relation to thecomplications of diabetes (see section 3.1).","Research Recommendation","","IPG257S1"
"TA71R1.1"," Stents should be used routinely where percutaneouscoronary intervention (PCI) is the clinically appropriateprocedure for patients with either stable or unstable anginaor with acute myocardial infarction (MI).","When to use stents","","TA71S1"
"TA71R1.5","This guidance specifically relates to the present clinical indications for PCI and excludes conditions (such as many cases of stable angina) that are adequately managed with standard drug therapy.","Guidance relates to clinical conditions for PCI","","TA71S1"
"TA152R1.1","Drug-eluting stents are recommended for use in percutaneous coronary intervention for the treatment of coronary artery disease, within their instructions for use, only if:
the target artery to be treated has less than a 3-mm calibre or the lesion is longer than 15 mm, and the price difference between drug-eluting stents and bare-metal stents is no more than £300.","Specific conditions for using drug-eluting stents","","TA152S2"
"IPG4891.1","Current evidence on the efficacy and safety of gastric electrical stimulation for gastroparesis is adequate to support the use of this procedure with normal arrangements for clinical governance, consent and audit","Efficacy and safety of gastric electrical stimulation for gastroparesis","","IPG489S1"
"IPG4891.2","During the consent process, clinicians should inform patients considering gastric electrical stimulation for gastroparesis that some patients do not get any benefit from it. They should also give patients detailed written information about the risk of complications, which can be serious, including the need to remove the device.","Information clinicians should give to patients during consent process","","IPG489S1"
"IPG4891.3","Patient selection and follow-up should be done in specialist gastroenterology units with expertise in gastrointestinal motility disorders, and the procedure should only be performed by surgeons working in these units.","Selection and follow up by specialist gastroenterology units","","IPG489S1"
"IPG4891.4","Further publications providing data about the effects of the procedure on symptoms in the long term and on device durability would be useful.","Research recommendation on gastric electrical stimulation","","IPG489S1"
